"240827_n6"	"240905_n6"	"241210_ICP4"	"241210_n6"	"241213_ICP4"	"241213_n6"	"241217_n6"
"ENSG00000277566"	0	0	3	2	5	0	3
"ENSG00000277568"	0	5	0	0	0	0	0
"ENSG00000277569"	0	0	0	0	0	0	0
"ENSG00000277572"	0	0	0	0	0	0	0
"ENSG00000277575"	0	0	0	0	0	0	0
"ENSG00000277576"	0	0	0	0	0	0	0
"ENSG00000277577"	0	0	0	0	0	0	0
"ENSG00000277578"	0	0	0	0	0	0	0
"ENSG00000277579"	0	0	0	0	0	0	0
"ENSG00000277581"	34	11	0	0	0	1	1
"ENSG00000277582"	0	0	0	0	0	0	0
"ENSG00000277583"	0	0	0	0	0	0	0
"ENSG00000277586"	1083	722	1588	1304	2088	1347	215
"ENSG00000277587"	0	0	0	0	0	0	0
"ENSG00000277588"	0	0	0	0	9	0	0
"ENSG00000277589"	0	5	0	0	1	0	0
"ENSG00000277590"	7	2	0	0	1	1	1
"ENSG00000277591"	0	0	0	0	0	0	0
"ENSG00000277592"	0	0	0	0	0	0	0
"ENSG00000277595"	22	9	0	0	16	11	7
"ENSG00000277597"	9	6	0	8	19	3	0
"ENSG00000277598"	0	0	0	0	0	0	0
"ENSG00000277599"	0	0	0	0	0	0	0
"ENSG00000277602"	0	5	0	12	5	7	2
"ENSG00000277604"	0	0	0	0	0	0	0
"ENSG00000277605"	0	0	0	0	8	0	0
"ENSG00000277608"	0	0	0	0	0	0	0
"ENSG00000277610"	20	0	0	18	0	0	0
"ENSG00000277611"	0	0	0	0	0	0	0
"ENSG00000277613"	0	0	0	0	0	0	0
"ENSG00000277617"	0	0	0	0	0	0	0
"ENSG00000277618"	0	0	0	0	0	0	0
"ENSG00000277619"	10	0	6	0	4	3	1
"ENSG00000277621"	0	0	0	0	0	0	0
"ENSG00000277628"	0	0	0	0	2	1	0
"ENSG00000277630"	0	0	0	0	0	0	0
"ENSG00000277631"	0	10	0	13	0	3	0
"ENSG00000277632"	17	0	25	10	17	0	0
"ENSG00000277634"	0	0	0	0	0	0	0
"ENSG00000277635"	0	0	0	0	0	0	0
"ENSG00000277636"	0	0	0	0	0	0	0
"ENSG00000277637"	0	0	0	0	0	0	0
"ENSG00000277639"	304	408	350	237	367	242	283
"ENSG00000277640"	0	0	0	0	0	0	0
"ENSG00000277646"	0	0	0	0	0	0	0
"ENSG00000277647"	0	0	0	0	0	0	0
"ENSG00000277651"	0	0	0	0	0	1	0
"ENSG00000277653"	0	0	0	0	0	0	0
"ENSG00000277654"	3	1	1	0	2	5	1
"ENSG00000277655"	0	9	0	0	0	0	0
"ENSG00000277661"	0	0	0	0	3	0	0
"ENSG00000277662"	23	12	22	4	14	24	5
"ENSG00000277668"	0	0	0	0	0	0	0
"ENSG00000277670"	0	0	0	0	0	0	0
"ENSG00000277671"	0	0	0	0	0	0	0
"ENSG00000277672"	0	0	0	0	0	0	0
"ENSG00000277673"	0	0	0	0	0	0	0
"ENSG00000277675"	0	0	0	0	0	0	0
"ENSG00000277677"	0	0	0	0	0	0	0
"ENSG00000277678"	0	0	0	0	0	0	0
"ENSG00000277681"	5	0	0	0	6	2	0
"ENSG00000277684"	0	0	0	0	0	0	0
"ENSG00000277687"	0	9	13	5	10	6	10
"ENSG00000277688"	0	0	0	0	0	0	0
"ENSG00000277689"	0	0	0	0	0	0	0
"ENSG00000277690"	0	0	0	0	0	0	0
"ENSG00000277692"	0	0	0	0	0	12	2
"ENSG00000277693"	0	0	0	0	0	0	0
"ENSG00000277694"	0	0	0	0	0	0	0
"ENSG00000277695"	0	0	0	0	0	0	1
"ENSG00000277698"	0	0	0	0	0	0	0
"ENSG00000277701"	1	0	0	1	0	0	0
"ENSG00000277702"	66	107	66	151	119	88	52
"ENSG00000277704"	0	0	0	0	0	0	0
"ENSG00000277705"	0	0	0	0	0	0	0
"ENSG00000277708"	0	0	0	0	0	0	0
"ENSG00000277710"	0	0	0	0	0	0	0
"ENSG00000277711"	0	0	0	0	0	0	0
"ENSG00000277713"	0	0	0	0	0	0	0
"ENSG00000277715"	128	96	78	44	79	69	45
"ENSG00000277717"	0	0	0	0	0	0	0
"ENSG00000277718"	0	0	0	0	0	0	0
"ENSG00000277720"	0	0	0	0	0	0	0
"ENSG00000277721"	0	0	0	0	0	0	0
"ENSG00000277728"	9	0	0	23	8	3	11
"ENSG00000277732"	0	0	0	0	0	0	0
"ENSG00000277734"	0	55	56	59	54	50	8
"ENSG00000277737"	0	0	0	0	0	0	0
"ENSG00000277738"	0	25	9	0	0	0	0
"ENSG00000277739"	0	0	0	0	0	0	0
"ENSG00000277740"	0	0	0	0	0	0	0
"ENSG00000277741"	2	0	0	0	0	0	2
"ENSG00000277743"	0	0	0	0	0	0	0
"ENSG00000277744"	0	3	0	0	5	0	2
"ENSG00000277745"	0	0	0	0	0	0	0
"ENSG00000277746"	0	0	0	0	0	0	0
"ENSG00000277747"	0	0	0	0	0	0	0
"ENSG00000277748"	0	0	0	0	0	0	0
"ENSG00000277749"	0	0	0	0	3	0	0
"ENSG00000277752"	0	0	0	0	0	0	0
"ENSG00000277754"	0	0	0	0	0	0	0
"ENSG00000277755"	0	0	0	0	0	0	0
"ENSG00000277757"	0	0	0	0	0	0	0
"ENSG00000277758"	31	76	64	94	95	65	23
"ENSG00000277759"	0	0	0	0	0	0	0
"ENSG00000277762"	0	0	0	0	0	0	0
"ENSG00000277763"	0	22	13	3	12	7	6
"ENSG00000277764"	0	1	0	0	0	0	0
"ENSG00000277766"	0	0	0	0	0	0	0
"ENSG00000277767"	20	24	11	7	4	9	9
"ENSG00000277769"	0	0	0	0	0	0	0
"ENSG00000277770"	0	0	0	0	0	0	0
"ENSG00000277771"	0	0	0	0	0	0	0
"ENSG00000277774"	0	0	0	0	0	0	0
"ENSG00000277775"	40	13	3	30	2	19	3
"ENSG00000277777"	0	0	0	0	0	0	0
"ENSG00000277778"	0	0	0	0	0	0	0
"ENSG00000277782"	96	128	178	128	135	87	47
"ENSG00000277784"	0	0	0	0	0	0	0
"ENSG00000277785"	0	0	0	0	0	0	0
"ENSG00000277790"	0	0	0	0	0	0	0
"ENSG00000277791"	7544	13379	11506	17432	13767	10632	5177
"ENSG00000277794"	0	0	0	0	0	0	0
"ENSG00000277795"	1	0	0	0	0	0	0
"ENSG00000277797"	0	0	0	0	0	0	13
"ENSG00000277801"	0	0	0	0	0	0	0
"ENSG00000277803"	2	0	0	0	0	0	0
"ENSG00000277806"	7	15	5	30	46	19	13
"ENSG00000277809"	0	0	0	0	0	0	0
"ENSG00000277817"	0	5	0	0	2	3	3
"ENSG00000277818"	0	0	0	0	8	0	0
"ENSG00000277825"	0	0	0	0	0	0	0
"ENSG00000277826"	0	0	0	0	0	0	0
"ENSG00000277828"	0	0	0	0	0	0	0
"ENSG00000277829"	14	39	16	25	24	17	8
"ENSG00000277830"	0	0	0	0	0	0	0
"ENSG00000277831"	0	0	0	9	2	2	0
"ENSG00000277836"	0	0	0	0	0	0	0
"ENSG00000277837"	0	0	0	0	6	0	0
"ENSG00000277840"	0	0	0	0	7	0	1
"ENSG00000277841"	0	0	0	0	0	0	0
"ENSG00000277842"	0	0	0	0	0	0	0
"ENSG00000277846"	0	0	0	0	0	0	0
"ENSG00000277851"	15	21	11	0	5	8	2
"ENSG00000277852"	0	0	0	0	0	5	0
"ENSG00000277855"	15	27	21	5	27	16	5
"ENSG00000277856"	0	0	0	0	0	0	0
"ENSG00000277858"	0	0	0	0	0	0	0
"ENSG00000277859"	0	0	0	0	0	0	0
"ENSG00000277862"	0	0	0	0	0	0	0
"ENSG00000277863"	0	0	0	17	0	0	0
"ENSG00000277864"	0	0	0	0	0	0	0
"ENSG00000277865"	0	0	0	0	0	0	0
"ENSG00000277866"	0	0	0	0	0	0	0
"ENSG00000277867"	0	2	10	0	1	0	0
"ENSG00000277869"	0	0	0	0	0	0	0
"ENSG00000277870"	0	0	0	0	0	0	0
"ENSG00000277872"	0	0	0	0	0	0	0
"ENSG00000277873"	0	8	10	24	3	11	8
"ENSG00000277876"	0	0	0	0	0	0	0
"ENSG00000277878"	0	0	0	0	0	0	0
"ENSG00000277879"	102	178	183	153	204	142	82
"ENSG00000277880"	10	0	0	0	0	0	0
"ENSG00000277881"	0	0	0	0	0	0	0
"ENSG00000277882"	0	0	0	0	0	0	0
"ENSG00000277883"	8	31	0	15	9	7	5
"ENSG00000277887"	0	0	0	0	0	0	0
"ENSG00000277888"	0	0	0	0	0	0	0
"ENSG00000277889"	0	0	0	0	0	0	0
"ENSG00000277890"	0	0	0	0	0	0	0
"ENSG00000277892"	0	4	7	12	28	2	16
"ENSG00000277893"	354	476	319	312	153	137	334
"ENSG00000277895"	5	45	34	3	17	13	7
"ENSG00000277899"	0	0	0	0	0	0	0
"ENSG00000277900"	0	0	0	0	0	0	0
"ENSG00000277901"	0	2	15	5	0	0	3
"ENSG00000277903"	0	0	0	0	0	0	0
"ENSG00000277904"	0	0	0	0	0	0	0
"ENSG00000277907"	0	0	0	0	0	0	0
"ENSG00000277911"	10	0	0	0	0	0	0
"ENSG00000277912"	0	0	0	0	0	0	0
"ENSG00000277913"	0	0	0	0	0	0	0
"ENSG00000277914"	1	1	0	0	0	0	0
"ENSG00000277916"	0	0	0	0	0	0	0
"ENSG00000277918"	0	0	0	4	6	1	0
"ENSG00000277919"	0	0	0	0	0	0	0
"ENSG00000277920"	0	0	0	0	0	0	0
"ENSG00000277922"	0	0	0	0	0	0	0
"ENSG00000277925"	0	0	0	0	0	0	0
"ENSG00000277927"	0	0	0	0	0	0	0
"ENSG00000277930"	0	0	0	0	0	0	0
"ENSG00000277932"	0	0	0	0	0	0	0
"ENSG00000277935"	0	0	0	0	0	0	0
"ENSG00000277938"	0	9	20	10	0	11	2
"ENSG00000277941"	0	0	0	0	0	0	0
"ENSG00000277942"	0	0	0	0	0	0	0
"ENSG00000277945"	0	0	0	2	1	0	3
"ENSG00000277946"	0	0	0	0	0	0	0
"ENSG00000277947"	0	0	0	0	0	0	0
"ENSG00000277948"	0	6	0	0	0	0	2
"ENSG00000277950"	0	0	0	0	0	0	0
"ENSG00000277952"	0	0	0	1	0	0	2
"ENSG00000277954"	0	0	9	0	5	1	1
"ENSG00000277957"	15	19	0	16	26	5	3
"ENSG00000277958"	0	0	0	0	0	0	0
"ENSG00000277959"	32	58	14	35	31	20	8
"ENSG00000277965"	0	0	0	0	0	0	0
"ENSG00000277966"	0	0	0	0	0	0	0
"ENSG00000277967"	0	0	0	0	0	0	0
"ENSG00000277968"	0	30	0	2	5	2	3
"ENSG00000277969"	96	106	120	176	118	63	50
"ENSG00000277971"	0	0	0	0	0	0	0
"ENSG00000277972"	1415	2156	1989	2982	2253	1608	908
"ENSG00000277973"	0	0	0	0	0	0	0
"ENSG00000277975"	0	0	0	0	0	0	0
"ENSG00000277977"	14	10	26	21	30	27	5
"ENSG00000277978"	0	0	0	19	0	3	1
"ENSG00000277981"	0	0	0	0	0	0	0
"ENSG00000277984"	0	0	0	0	0	0	0
"ENSG00000277985"	0	0	0	0	0	0	0
"ENSG00000277986"	0	0	0	0	0	0	0
"ENSG00000277987"	0	0	0	0	0	1	0
"ENSG00000277988"	0	0	0	0	0	0	0
"ENSG00000277991"	0	1	0	0	0	0	0
"ENSG00000277994"	0	0	0	0	0	0	0
"ENSG00000277997"	0	0	0	0	0	0	0
"ENSG00000277998"	31	21	13	14	15	24	1
"ENSG00000277999"	0	0	0	0	0	0	1
"ENSG00000278000"	54	23	51	43	22	17	18
"ENSG00000278001"	0	0	0	0	0	0	0
"ENSG00000278002"	0	10	0	0	0	0	1
"ENSG00000278004"	0	0	0	0	0	0	0
"ENSG00000278007"	0	0	0	0	0	0	0
"ENSG00000278008"	0	0	0	0	0	0	0
"ENSG00000278009"	11	17	14	23	12	0	2
"ENSG00000278010"	0	0	0	0	0	0	0
"ENSG00000278011"	0	0	0	0	4	7	0
"ENSG00000278012"	0	0	0	0	0	0	0
"ENSG00000278013"	0	0	0	0	16	5	0
"ENSG00000278017"	37	8	4	34	9	8	2
"ENSG00000278020"	0	0	0	0	0	0	0
"ENSG00000278022"	13	0	0	0	0	0	3
"ENSG00000278023"	15	21	0	7	4	9	1
"ENSG00000278026"	0	0	0	0	0	0	0
"ENSG00000278028"	0	0	0	0	0	0	0
"ENSG00000278030"	0	4	10	27	1	0	0
"ENSG00000278034"	0	0	0	0	0	0	0
"ENSG00000278035"	0	0	3	0	3	0	2
"ENSG00000278038"	0	0	0	0	0	0	0
"ENSG00000278039"	0	0	0	0	0	0	0
"ENSG00000278040"	0	4	0	0	0	0	1
"ENSG00000278041"	0	0	0	9	1	3	3
"ENSG00000278044"	0	0	0	0	0	0	0
"ENSG00000278045"	0	0	0	0	0	0	0
"ENSG00000278048"	0	0	0	0	0	0	0
"ENSG00000278050"	0	0	0	0	0	0	0
"ENSG00000278052"	0	0	0	0	0	0	0
"ENSG00000278053"	5920	5945	5221	3276	4664	4205	3240
"ENSG00000278054"	0	0	0	0	0	0	3
"ENSG00000278055"	0	0	0	0	0	0	0
"ENSG00000278057"	0	0	0	0	0	0	0
"ENSG00000278058"	12	4	11	19	7	26	5
"ENSG00000278060"	0	0	0	0	0	0	0
"ENSG00000278066"	0	0	0	0	0	0	0
"ENSG00000278068"	0	0	0	0	0	0	0
"ENSG00000278069"	0	0	0	0	0	0	0
"ENSG00000278071"	21	4	29	20	42	6	7
"ENSG00000278072"	0	0	0	0	0	0	0
"ENSG00000278073"	0	0	0	0	0	0	0
"ENSG00000278075"	8	5	0	0	7	2	5
"ENSG00000278077"	0	0	0	0	0	0	1
"ENSG00000278078"	0	0	0	0	0	0	0
"ENSG00000278083"	0	0	0	0	0	0	0
"ENSG00000278084"	0	6	0	0	0	0	0
"ENSG00000278085"	0	0	0	0	0	0	0
"ENSG00000278089"	0	0	0	0	0	0	0
"ENSG00000278090"	0	0	0	15	14	0	0
"ENSG00000278095"	0	1	8	0	0	4	1
"ENSG00000278097"	0	0	0	0	0	0	0
"ENSG00000278098"	0	0	0	0	0	0	0
"ENSG00000278099"	0	0	0	0	0	0	0
"ENSG00000278100"	0	0	0	0	0	0	0
"ENSG00000278102"	0	0	0	0	0	0	0
"ENSG00000278103"	0	0	0	0	0	0	0
"ENSG00000278104"	0	0	0	0	0	0	0
"ENSG00000278106"	0	0	0	0	0	0	0
"ENSG00000278108"	0	5	0	6	0	0	2
"ENSG00000278109"	0	0	0	0	0	0	0
"ENSG00000278110"	0	0	0	0	0	0	0
"ENSG00000278112"	46	48	33	16	25	15	5
"ENSG00000278113"	0	0	0	0	0	0	0
"ENSG00000278122"	0	0	0	0	0	0	0
"ENSG00000278123"	0	0	0	0	0	0	0
"ENSG00000278124"	0	0	0	0	0	0	0
"ENSG00000278126"	22	42	27	7	55	30	23
"ENSG00000278128"	0	0	0	0	0	0	0
"ENSG00000278129"	635	546	765	180	597	552	206
"ENSG00000278130"	0	0	0	0	0	0	0
"ENSG00000278131"	0	0	0	0	0	0	0
"ENSG00000278133"	229	242	251	278	229	196	132
"ENSG00000278135"	0	0	0	0	0	0	0
"ENSG00000278138"	0	0	0	0	0	0	0
"ENSG00000278139"	0	0	0	0	0	0	0
"ENSG00000278143"	0	0	0	0	0	0	0
"ENSG00000278144"	0	0	0	0	0	0	0
"ENSG00000278146"	0	0	0	0	0	0	0
"ENSG00000278147"	0	0	0	13	11	0	0
"ENSG00000278151"	0	0	0	0	0	0	0
"ENSG00000278153"	0	0	0	0	3	0	0
"ENSG00000278156"	205	133	152	186	163	142	89
"ENSG00000278158"	0	0	0	0	0	0	0
"ENSG00000278159"	0	0	0	0	0	0	0
"ENSG00000278160"	0	0	0	0	0	0	0
"ENSG00000278171"	0	0	0	0	0	0	0
"ENSG00000278172"	0	0	0	0	0	0	0
"ENSG00000278175"	1	27	46	24	21	26	5
"ENSG00000278177"	0	2	6	0	11	4	1
"ENSG00000278180"	0	0	0	0	0	0	0
"ENSG00000278181"	0	0	0	0	0	0	0
"ENSG00000278182"	0	0	0	0	0	0	0
"ENSG00000278184"	0	0	0	0	0	0	0
"ENSG00000278188"	0	0	0	0	0	0	0
"ENSG00000278189"	0	0	0	0	0	0	0
"ENSG00000278192"	0	0	0	0	4	0	0
"ENSG00000278193"	0	0	0	0	0	0	0
"ENSG00000278195"	0	0	5	5	0	0	2
"ENSG00000278196"	0	0	7	0	0	0	0
"ENSG00000278197"	0	0	0	0	0	0	0
"ENSG00000278200"	11	5	0	20	3	9	0
"ENSG00000278202"	0	0	0	0	0	0	0
"ENSG00000278204"	0	0	0	0	0	0	0
"ENSG00000278205"	0	0	0	0	0	0	0
"ENSG00000278206"	49	0	0	5	6	8	1
"ENSG00000278212"	0	0	0	0	0	0	0
"ENSG00000278213"	0	0	0	0	0	0	0
"ENSG00000278214"	0	0	0	0	9	3	1
"ENSG00000278215"	0	9	0	0	6	0	0
"ENSG00000278217"	0	0	0	0	0	0	0
"ENSG00000278218"	0	0	0	0	0	0	0
"ENSG00000278221"	0	0	0	0	0	0	0
"ENSG00000278222"	0	0	0	0	0	0	0
"ENSG00000278223"	0	0	0	0	0	0	0
"ENSG00000278224"	0	0	0	0	4	3	0
"ENSG00000278226"	0	0	0	0	0	0	0
"ENSG00000278231"	0	8	0	0	16	2	3
"ENSG00000278233"	0	0	0	0	0	0	0
"ENSG00000278234"	0	0	0	0	0	0	0
"ENSG00000278236"	0	0	0	0	0	0	0
"ENSG00000278237"	0	0	0	0	0	0	0
"ENSG00000278238"	29	90	11	52	35	47	5
"ENSG00000278239"	0	0	0	0	0	0	0
"ENSG00000278242"	0	0	0	0	0	0	0
"ENSG00000278249"	0	0	0	0	0	0	0
"ENSG00000278250"	0	0	0	0	0	0	0
"ENSG00000278254"	0	0	0	0	0	0	0
"ENSG00000278255"	0	0	0	0	0	2	0
"ENSG00000278256"	0	0	0	0	0	0	0
"ENSG00000278259"	4219	5927	3846	4487	3385	3699	1774
"ENSG00000278261"	0	0	0	0	0	0	0
"ENSG00000278263"	0	0	0	0	0	0	0
"ENSG00000278264"	0	0	0	0	0	0	0
"ENSG00000278265"	0	0	0	0	0	0	0
"ENSG00000278266"	51	59	43	37	23	22	17
"ENSG00000278267"	27	1	0	0	0	0	2
"ENSG00000278273"	0	0	0	0	0	0	0
"ENSG00000278274"	0	0	0	0	0	0	0
"ENSG00000278275"	0	0	0	0	0	0	1
"ENSG00000278276"	0	0	0	0	0	0	0
"ENSG00000278278"	0	0	0	0	0	0	0
"ENSG00000278281"	0	0	0	0	0	0	0
"ENSG00000278283"	0	0	0	0	0	0	0
"ENSG00000278287"	0	0	0	0	0	0	0
"ENSG00000278289"	0	0	0	0	0	0	0
"ENSG00000278291"	12	20	26	13	6	30	4
"ENSG00000278292"	0	0	0	0	0	0	0
"ENSG00000278294"	0	0	0	0	0	0	0
"ENSG00000278299"	0	0	0	0	0	0	0
"ENSG00000278301"	0	0	0	0	0	0	0
"ENSG00000278305"	0	0	0	0	0	6	0
"ENSG00000278311"	7882	8366	9148	5661	8638	7235	3938
"ENSG00000278313"	0	0	0	0	0	0	1
"ENSG00000278317"	0	0	0	0	0	0	0
"ENSG00000278318"	2716	2334	2592	1424	1948	1599	919
"ENSG00000278319"	0	0	0	0	0	0	0
"ENSG00000278324"	0	0	0	0	0	0	0
"ENSG00000278328"	0	0	0	0	0	0	0
"ENSG00000278330"	0	8	0	0	2	0	0
"ENSG00000278331"	0	0	0	0	0	0	0
"ENSG00000278332"	0	8	0	0	0	0	0
"ENSG00000278333"	0	0	0	0	0	0	0
"ENSG00000278334"	0	0	0	0	0	0	0
"ENSG00000278337"	0	0	0	0	0	0	0
"ENSG00000278338"	12	6	12	3	5	6	5
"ENSG00000278340"	0	0	0	0	0	0	0
"ENSG00000278341"	196	186	248	121	193	99	82
"ENSG00000278342"	0	0	0	0	0	0	0
"ENSG00000278344"	11	3	0	0	1	6	3
"ENSG00000278346"	0	8	0	0	0	0	0
"ENSG00000278348"	0	0	0	0	0	0	0
"ENSG00000278349"	0	1	0	0	0	0	0
"ENSG00000278351"	0	0	0	0	0	0	0
"ENSG00000278356"	0	12	0	0	0	5	5
"ENSG00000278358"	0	0	0	0	0	0	0
"ENSG00000278359"	0	7	0	0	0	0	1
"ENSG00000278367"	0	0	0	0	0	0	0
"ENSG00000278370"	0	0	0	0	4	0	0
"ENSG00000278374"	3	0	0	0	0	0	0
"ENSG00000278376"	33	75	75	171	81	102	19
"ENSG00000278381"	0	0	0	0	0	0	0
"ENSG00000278382"	0	0	0	0	0	0	0
"ENSG00000278383"	27	11	14	0	14	8	4
"ENSG00000278384"	4	7	0	0	0	10	0
"ENSG00000278385"	56	19	97	53	120	34	24
"ENSG00000278388"	0	0	0	0	0	0	0
"ENSG00000278389"	6	38	0	16	11	13	6
"ENSG00000278390"	82	32	28	27	26	29	22
"ENSG00000278391"	0	0	0	0	0	0	0
"ENSG00000278395"	0	0	0	0	0	0	0
"ENSG00000278396"	49	47	65	79	49	24	10
"ENSG00000278399"	0	5	4	11	6	4	0
"ENSG00000278400"	0	0	0	0	0	0	0
"ENSG00000278404"	0	0	0	0	0	0	0
"ENSG00000278406"	0	0	0	0	0	0	0
"ENSG00000278408"	0	0	0	0	0	0	0
"ENSG00000278410"	0	0	0	0	0	0	0
"ENSG00000278412"	0	0	0	0	0	0	0
"ENSG00000278413"	0	0	0	0	0	0	0
"ENSG00000278416"	0	0	0	0	9	0	3
"ENSG00000278418"	0	0	0	0	0	0	0
"ENSG00000278419"	0	0	0	0	0	0	0
"ENSG00000278420"	0	0	0	0	0	0	0
"ENSG00000278421"	0	0	0	0	0	0	0
"ENSG00000278422"	0	0	0	0	0	0	0
"ENSG00000278424"	0	0	0	0	0	0	0
"ENSG00000278428"	0	0	0	0	0	0	0
"ENSG00000278431"	0	0	0	0	0	0	0
"ENSG00000278433"	0	0	0	0	0	0	0
"ENSG00000278434"	5	3	14	0	4	2	4
"ENSG00000278438"	0	0	0	0	0	0	0
"ENSG00000278441"	0	0	0	0	0	0	0
"ENSG00000278445"	0	0	0	15	0	2	0
"ENSG00000278446"	0	0	0	0	0	0	0
"ENSG00000278447"	0	0	0	0	0	0	0
"ENSG00000278449"	0	0	0	0	0	0	0
"ENSG00000278454"	0	0	0	0	0	0	0
"ENSG00000278455"	0	0	0	0	0	0	0
"ENSG00000278456"	8	8	1	4	3	0	2
"ENSG00000278457"	0	0	0	0	0	3	0
"ENSG00000278459"	0	0	0	0	0	0	0
"ENSG00000278462"	0	0	0	0	0	0	0
"ENSG00000278463"	8	14	10	8	6	1	1
"ENSG00000278464"	15	24	50	39	14	0	0
"ENSG00000278465"	0	0	0	0	0	0	0
"ENSG00000278467"	26	0	10	0	10	2	4
"ENSG00000278469"	0	0	0	0	0	0	0
"ENSG00000278472"	0	26	20	0	3	0	12
"ENSG00000278473"	0	0	0	0	0	0	0
"ENSG00000278475"	0	0	7	0	0	0	0
"ENSG00000278477"	0	0	0	0	0	0	0
"ENSG00000278478"	0	0	0	0	0	0	0
"ENSG00000278480"	0	10	0	0	0	0	0
"ENSG00000278482"	0	0	0	0	0	0	0
"ENSG00000278483"	0	0	0	0	0	0	0
"ENSG00000278484"	0	0	0	0	0	0	0
"ENSG00000278485"	0	0	0	0	0	0	0
"ENSG00000278486"	0	0	0	0	0	0	0
"ENSG00000278487"	0	0	0	3	0	0	0
"ENSG00000278492"	1	0	0	0	7	7	1
"ENSG00000278493"	38	1	13	5	13	0	1
"ENSG00000278496"	0	0	0	0	0	0	0
"ENSG00000278497"	0	0	0	0	0	0	0
"ENSG00000278498"	11	5	1	11	0	4	0
"ENSG00000278499"	0	0	0	0	0	1	0
"ENSG00000278502"	0	0	0	0	0	0	0
"ENSG00000278505"	0	12	0	0	0	1	4
"ENSG00000278510"	0	0	0	0	0	0	0
"ENSG00000278513"	0	0	0	0	0	0	0
"ENSG00000278514"	0	6	0	12	15	4	7
"ENSG00000278517"	0	0	0	0	0	0	0
"ENSG00000278518"	9	0	0	6	6	7	3
"ENSG00000278520"	0	0	0	0	0	0	0
"ENSG00000278522"	0	0	0	0	0	0	0
"ENSG00000278523"	0	0	0	0	0	0	0
"ENSG00000278524"	0	0	0	0	0	0	0
"ENSG00000278525"	0	0	0	0	0	0	0
"ENSG00000278526"	0	0	0	0	0	0	0
"ENSG00000278527"	0	0	0	0	0	0	0
"ENSG00000278528"	0	0	0	0	0	0	0
"ENSG00000278529"	0	0	0	0	0	0	0
"ENSG00000278530"	0	0	0	0	0	0	0
"ENSG00000278531"	0	0	0	0	0	0	0
"ENSG00000278532"	22	5	0	0	0	12	3
"ENSG00000278535"	762	569	509	671	483	482	340
"ENSG00000278537"	0	0	0	0	0	0	0
"ENSG00000278540"	10172	9534	8354	4572	7527	8907	5113
"ENSG00000278541"	0	0	0	0	0	0	0
"ENSG00000278543"	0	0	0	0	0	0	0
"ENSG00000278546"	4	48	58	52	63	26	23
"ENSG00000278549"	0	0	0	0	0	0	2
"ENSG00000278551"	0	0	0	0	0	0	0
"ENSG00000278552"	0	0	0	0	0	0	0
"ENSG00000278554"	0	0	0	0	0	0	0
"ENSG00000278558"	27	14	1	19	4	16	7
"ENSG00000278561"	0	0	0	0	0	0	0
"ENSG00000278569"	0	0	0	0	0	0	0
"ENSG00000278570"	10	4	19	9	0	7	18
"ENSG00000278571"	0	0	0	0	0	0	0
"ENSG00000278572"	0	0	1	0	0	0	2
"ENSG00000278573"	0	0	0	0	0	0	0
"ENSG00000278576"	0	8	8	0	10	10	2
"ENSG00000278577"	0	0	0	0	0	0	0
"ENSG00000278580"	0	0	0	0	0	0	0
"ENSG00000278581"	0	0	0	0	0	0	0
"ENSG00000278582"	0	0	0	0	0	0	0
"ENSG00000278585"	0	0	0	0	0	0	0
"ENSG00000278586"	0	0	0	0	0	0	3
"ENSG00000278587"	0	0	0	0	0	0	0
"ENSG00000278588"	13	6	0	9	4	1	1
"ENSG00000278589"	0	0	0	0	0	0	0
"ENSG00000278590"	0	8	5	0	0	0	6
"ENSG00000278591"	0	0	0	0	0	0	0
"ENSG00000278592"	0	0	0	3	3	6	0
"ENSG00000278593"	13	27	30	21	20	47	0
"ENSG00000278594"	0	0	0	0	0	0	0
"ENSG00000278595"	0	2	17	0	0	12	0
"ENSG00000278596"	0	0	1	0	0	0	0
"ENSG00000278598"	0	7	2	6	4	11	6
"ENSG00000278599"	0	0	0	0	0	0	0
"ENSG00000278600"	98	115	104	73	49	81	46
"ENSG00000278601"	0	0	0	0	0	0	0
"ENSG00000278602"	0	0	0	0	0	0	0
"ENSG00000278603"	0	1	0	18	2	0	0
"ENSG00000278604"	0	0	0	0	0	0	0
"ENSG00000278607"	0	0	0	1	0	0	0
"ENSG00000278611"	77	96	145	219	159	112	63
"ENSG00000278615"	0	0	12	0	4	4	0
"ENSG00000278616"	0	35	35	0	2	23	20
"ENSG00000278617"	0	0	0	0	0	0	0
"ENSG00000278618"	0	0	0	0	0	0	0
"ENSG00000278619"	784	998	750	1012	854	884	412
"ENSG00000278621"	0	0	0	0	0	0	0
"ENSG00000278625"	0	0	0	0	0	0	0
"ENSG00000278626"	0	0	0	2	1	0	1
"ENSG00000278627"	0	0	0	0	3	0	0
"ENSG00000278630"	0	0	0	0	0	0	0
"ENSG00000278631"	0	0	0	0	0	0	0
"ENSG00000278633"	0	0	0	0	0	0	0
"ENSG00000278635"	20	24	0	0	0	4	0
"ENSG00000278636"	0	0	0	0	0	0	0
"ENSG00000278637"	0	5	0	0	2	2	0
"ENSG00000278638"	0	0	0	0	0	0	0
"ENSG00000278640"	0	0	0	0	0	0	0
"ENSG00000278641"	0	0	0	0	0	0	0
"ENSG00000278642"	0	0	0	0	5	2	1
"ENSG00000278643"	0	0	0	0	0	0	0
